Club,Name,League,Count
Wellington_Phoenix_FC_Reserves,Wellington Phoenix FC Reserves,Central League,12
Hertha_BSC,Hertha BSC,2. Bundesliga,11
FC_Midtjylland,FC Midtjylland,Superliga,11
C.D._Guadalajara,C.D. Guadalajara,Liga MX,11
Club_Am%C3%A9rica,Club América,Liga MX,11
SSC_Napoli,SSC Napoli,Serie A,11
Vancouver_Whitecaps_FC,Vancouver Whitecaps FC,Major League Soccer,11
Hamburger_SV,Hamburger SV,Bundesliga,11
Al-Duhail_SC,Al Duhail SC,Qatar Stars League,11
RCD_Mallorca,RCD Mallorca,Segunda División,11
FC_Sochaux-Montb%C3%A9liard,FC Sochaux-Montbéliard,Ligue 2,11
Norwich_City_F.C.,Norwich City F.C.,EFL Championship,11
Udinese_Calcio,Udinese Calcio,Serie A,11
Sevilla_FC,Sevilla FC,La Liga,11
CR_Flamengo,CR Flamengo,Campeonato Brasileiro Série A,11
SE_Palmeiras,SE Palmeiras,Campeonato Brasileiro Série A,11
R.S.C._Anderlecht,R.S.C. Anderlecht,Unknown,11
%C4%B0stanbul_Ba%C5%9Fak%C5%9Fehir_F.K.,İstanbul Başakşehir F.K.,Süper Lig,11
Club_Atl%C3%A9tico_River_Plate,Club Atlético River Plate,Liga Profesional,11
Trabzonspor,Trabzonspor,Süper Lig,11
SC_Heerenveen,SC Heerenveen,Eredivisie,11
Al-Shorta_SC,Al-Shorta SC,Iraq Stars League,11
AC_Sparta_Prague,AC Sparta Prague,Czech First League,10
Be%C5%9Fikta%C5%9F_J.K.,Beşiktaş J.K.,Süper Lig,10
FC_Twente,FC Twente,Eredivisie,10
Granada_CF,Granada CF,Segunda División,10
SuperSport_United_F.C.,SuperSport United F.C.,South African Premiership,10
Valencia_CF,Valencia CF,La Liga,10
US_Sassuolo_Calcio,US Sassuolo Calcio,Serie A,10
Al-Arabi_SC_(Qatar),Al-Arabi SC (Qatar),Qatar Stars League,10
Al-Gharafa_SC,Al-Gharafa SC,Qatar Stars League,10
Leeds_United_F.C.,Leeds United F.C.,Premier League,10
FC_Metz,FC Metz,Ligue 2,10
Sporting_CP_B,Sporting CP B,Liga Portugal 2,10
Reading_F.C.,Reading F.C.,EFL League One,10
Kas%C4%B1mpa%C5%9Fa_S.K.,Kasımpaşa S.K.,Süper Lig,10
C.S.D._Independiente_del_Valle,C.S.D. Independiente del Valle,Unknown,10
Al_Nassr_FC,Al Nassr FC,Unknown,10
K.A.A._Gent,K.A.A. Gent,Unknown,10
Pyramids_FC,Pyramids FC,Egyptian Premier League,10
Cruz_Azul,Cruz Azul,Liga MX,9
UD_Almer%C3%ADa,UD Almería,Segunda División,9
Genoa_CFC,Genoa CFC,Serie A,9
Jeonbuk_Hyundai_Motors,Jeonbuk Hyundai Motors,K League 1,9
1._FSV_Mainz_05,1. FSV Mainz 05,Bundesliga,9
Swansea_City_A.F.C.,Swansea City A.F.C.,EFL Championship,9
FC_Schalke_04_II,FC Schalke 04 II,Regionalliga West,9
Royale_Union_Saint-Gilloise,Royale Union Saint-Gilloise,Belgian Pro League,9
Al-Rayyan_SC,Al-Rayyan SC,Qatar Stars League,9
Sint-Truidense_V.V.,Sint-Truidense VV,Belgian Pro League,9
FC_Lorient,FC Lorient,Ligue 1,9
FC_Nantes,FC Nantes,Ligue 2,9
Coventry_City_F.C.,Coventry City F.C.,Premier League,9
Sheffield_United_F.C.,Sheffield United F.C.,EFL Championship,9
Ipswich_Town_F.C.,Ipswich Town F.C.,Premier League,9
Al-Ahli_Saudi_FC,Al-Ahli Saudi FC,Unknown,9
FC_Porto_B,FC Porto B,Liga Portugal 2,9
FC_Nordsj%C3%A6lland,FC Nordsjælland,Superliga,9
Olympique_Lyonnais_Reserves_and_Academy,Olympique Lyonnais Reserves and Academy,Championnat National 3,9
Al-Quwa_Al-Jawiya,Al-Quwa Al-Jawiya,Iraq Stars League,9
Al-Wehdat_SC,Al-Wehdat SC,Jordanian Pro League,9
FC_Nasaf,FC Nasaf,Uzbekistan Super League,9
FC_Slovan_Liberec,FC Slovan Liberec,Czech First League,8
S.C._Braga,S.C. Braga,Primeira Liga,8
Standard_Li%C3%A8ge,Standard Liège,Belgian Pro League,8
Mamelodi_Sundowns_F.C.,Mamelodi Sundowns F.C.,Unknown,8
Orlando_Pirates_F.C.,Orlando Pirates F.C.,South African Premiership,8
FC_Barcelona_B,FC Barcelona Atlètic,Segunda Federación,8
Stoke_City_F.C.,Stoke City F.C.,EFL Championship,8
ACF_Fiorentina,ACF Fiorentina,Serie A,8
Hull_City_A.F.C.,Hull City A.F.C.,Premier League,8
Stade_Rennais_F.C.,Stade Rennais F.C.,Unknown,8
AJ_Auxerre,AJ Auxerre,Ligue 1,8
SBV_Vitesse,SBV Vitesse,Eerste Divisie,8
Columbus_Crew,Columbus Crew,Major League Soccer,8
TSG_1899_Hoffenheim_II,TSG 1899 Hoffenheim II,3. Liga,8
K.R.C._Genk,K.R.C. Genk,Unknown,8
Melbourne_City_FC,Melbourne City FC,A-League Men,8
Talleres_de_C%C3%B3rdoba,Talleres de Córdoba,Primera División,8
Pe%C3%B1arol,Peñarol,Liga AUF Uruguaya,8
Paris_Saint-Germain_F.C.,Paris Saint-Germain F.C.,Unknown,8
SV_Werder_Bremen,SV Werder Bremen,Bundesliga,8
Sepahan_S.C.,Sepahan S.C.,Persian Gulf Pro League,8
Auckland_FC,Auckland FC,A-League Men,8
Pumas_UNAM,Pumas UNAM,Liga MX,7
RSC_Anderlecht,RSC Anderlecht,Belgian Pro League,7
Philadelphia_Union,Philadelphia Union,Major League Soccer,7
Red_Star_Belgrade,Red Star Belgrade,Serbian SuperLiga,7
Los_Angeles_FC,Los Angeles FC,Major League Soccer,7
HNK_Hajduk_Split,HNK Hajduk Split,Croatian Football League,7
Br%C3%B8ndby_IF,Brøndby IF,Superliga,7
Real_Zaragoza,Real Zaragoza,Segunda División,7
VfB_Stuttgart_II,VfB Stuttgart II,3. Liga,7
Middlesbrough_F.C.,Middlesbrough F.C.,EFL Championship,7
Orlando_City_SC,Orlando City SC,Major League Soccer,7
Al_Sadd_SC,Al Sadd SC,Qatar Stars League,7
Torino_FC,Torino FC,Unknown,7
Clube_Atl%C3%A9tico_Mineiro,Clube Atlético Mineiro,Campeonato Brasileiro Série A,7
Al-Ittihad_Club_(Jeddah),Al-Ittihad Club (Jeddah),Saudi Pro League,7
L.D.U._Quito,LDU Quito,Ecuadorian Serie A,7
G.D._Estoril_Praia,G.D. Estoril Praia,Primeira Liga,7
Montpellier_HSC,Montpellier HSC,Ligue 2,7
Dundee_United_F.C.,Dundee United F.C.,Scottish Premiership,7
Blackburn_Rovers_F.C.,Blackburn Rovers F.C.,EFL Championship,7
Wigan_Athletic_F.C.,Wigan Athletic F.C.,EFL League One,7
F.C._Copenhagen,F.C. Copenhagen,Superliga,7
Cerro_Porte%C3%B1o,Cerro Porteño,División de Honor,7
Boca_Juniors,Boca Juniors,Primera División,7
1._FC_Union_Berlin,1. FC Union Berlin,Bundesliga,7
Sparta_Rotterdam,Sparta Rotterdam,Eredivisie,7
IF_Brommapojkarna,IF Brommapojkarna,Allsvenskan,7
Zamalek_SC,Zamalek SC,Egyptian Premier League,7
Club_Nacional_de_Football,Club Nacional de Football,Liga AUF Uruguaya,7
F.C._Famalic%C3%A3o,F.C. Famalicão,Primeira Liga,7
Al-Zawraa_SC,Al-Zawraa SC,Unknown,7
Atl%C3%A9tico_Nacional,Atlético Nacional,Categoría Primera A,7
Pakhtakor_Tashkent_FK,Pakhtakor Tashkent FK,Unknown,7
C.F._Monterrey,C.F. Monterrey,Liga MX,6
FC_Dynamo_Moscow,FC Dynamo Moscow,Russian Premier League,6
Vit%C3%B3ria_S.C.,Vitória S.C.,Primeira Liga,6
Molde_FK,Molde FK,Eliteserien,6
1._FC_N%C3%BCrnberg,1. FC Nürnberg,2. Bundesliga,6
Deportivo_Alav%C3%A9s,Deportivo Alavés,La Liga,6
%C3%87aykur_Rizespor,Çaykur Rizespor,Süper Lig,6
FC_Z%C3%BCrich,FC Zürich,Swiss Super League,6
HNK_Rijeka,HNK Rijeka,Croatian Football League,6
SK_Sturm_Graz,SK Sturm Graz,Austrian Bundesliga,6
CF_Montr%C3%A9al,CF Montréal,Major League Soccer,6
St_Mirren_F.C.,St Mirren F.C.,Scottish Premiership,6
Real_Valladolid,Real Valladolid,Segunda División,6
KAA_Gent,KAA Gent,Belgian Pro League,6
Whitecaps_FC_2,Whitecaps FC 2,MLS Next Pro,6
Al-Wakrah_SC,Al-Wakrah SC,Qatar Stars League,6
K.A.S._Eupen,KAS Eupen,Challenger Pro League,6
Grasshopper_Club_Z%C3%BCrich,Grasshopper Club Z%C3%BCrich,Unknown,6
FC_Lausanne-Sport,FC Lausanne-Sport,Swiss Super League,6
Fortuna_D%C3%BCsseldorf,Fortuna Düsseldorf,2. Bundesliga,6
RKC_Waalwijk,RKC Waalwijk,Eerste Divisie,6
FC_Dallas,FC Dallas,Major League Soccer,6
New_York_Red_Bulls,New York Red Bulls,Major League Soccer,6
Atl%C3%A9tico_Madrid_B,Atlético Madrileño,Primera Federación,6
Club_NXT,Club NXT,Challenger Pro League,6
Heart_of_Midlothian_F.C.,Heart of Midlothian F.C.,Scottish Premiership,6
Melbourne_Victory_FC,Melbourne Victory FC,A-League Men,6
Racing_Club_de_Avellaneda,Racing Club de Avellaneda,Liga Profesional,6
Getafe_CF,Getafe CF,La Liga,6
Club_Olimpia,Club Olimpia,División de Honor,6
Hammarby_Fotboll,Hammarby Fotboll,Allsvenskan,6
Adana_Demirspor,Adana Demirspor,TFF 2. Lig,6
NEC_Nijmegen,NEC Nijmegen,Eredivisie,6
R._Charleroi_S.C.,R. Charleroi S.C.,Unknown,6
Tractor_S.C.,Tractor S.C.,Persian Gulf Pro League,6
Viking_FK,Viking FK,Eliteserien,6
Al-Nassr_FC,Al-Nassr FC,Unknown,6
Centro_Atl%C3%A9tico_F%C3%A9nix,Centro Atlético Fénix,Segunda División,6
Rayo_Vallecano,Rayo Vallecano,La Liga,6
Al-Faisaly_SC,Al-Faisaly SC,Unknown,6
Al-Jazeera_Club_(Jordan),Al-Jazeera Club (Jordan),Unknown,6
FC_Neftchi_Fergana,FC Neftchi Fergana,Uzbekistan Super League,6
FC_Bunyodkor,FC Bunyodkor,Uzbekistan Super League,6
San_Francisco_F.C.,San Francisco F.C.,Liga Panameña de Fútbol,6
UC_Sampdoria,UC Sampdoria,Serie B,5
S.V._Zulte_Waregem,SV Zulte Waregem,Belgian Pro League,5
RCD_Espanyol,RCD Espanyol,La Liga,5
US_Salernitana_1919,US Salernitana 1919,Serie C,5
RC_Celta_de_Vigo,RC Celta de Vigo,La Liga,5
Chicago_Fire_FC,Chicago Fire FC,Major League Soccer,5
Gil_Vicente_F.C.,Gil Vicente F.C.,Primeira Liga,5
FC_Seoul,FC Seoul,K League 1,5
Holstein_Kiel,Holstein Kiel,2. Bundesliga,5
FC_Rostov,FC Rostov,Russian Premier League,5
Wolfsberger_AC,Wolfsberger AC,Austrian Bundesliga,5
Minnesota_United_FC,Minnesota United FC,Major League Soccer,5
Inter_Miami_CF,Inter Miami CF,Major League Soccer,5
Kilmarnock_F.C.,Kilmarnock F.C.,Scottish Premiership,5
Toronto_FC,Toronto FC,Major League Soccer,5
Sporting_de_Gij%C3%B3n,Sporting de Gijón,Segunda División,5
LASK,LASK,Unknown,5
FC_Winterthur,FC Winterthur,Swiss Super League,5
FC_Luzern,FC Luzern,Swiss Super League,5
Borussia_M%C3%B6nchengladbach_II,Borussia Mönchengladbach II,Regionalliga West,5
FC_Lugano,FC Lugano,Swiss Super League,5
SpVgg_Greuther_F%C3%BCrth,SpVgg Greuther Fürth,2. Bundesliga,5
Club_Athletico_Paranaense,Club Athletico Paranaense,Campeonato Brasileiro Série A,5
FC_Zenit_Saint_Petersburg,FC Zenit Saint Petersburg,Russian Premier League,5
Fluminense_FC,Fluminense FC,Campeonato Brasileiro Série A,5
Rio_Ave_F.C.,Rio Ave F.C.,Primeira Liga,5
Atlanta_United_FC,Atlanta United FC,Major League Soccer,5
Kayserispor,Kayserispor,TFF 1. Lig,5
Almere_City_FC,Almere City FC,Eerste Divisie,5
FC_Utrecht,FC Utrecht,Eredivisie,5
Panathinaikos_F.C.,Panathinaikos F.C.,Super League Greece,5
Aberdeen_F.C.,Aberdeen F.C.,Scottish Premiership,5
Yokohama_F._Marinos,Yokohama F. Marinos,J1 League,5
Bursaspor,Bursaspor,TFF 1. Lig,5
Club_Atl%C3%A9tico_Lan%C3%BAs,Club Atlético Lanús,Primera División,5
Club_Libertad,Club Libertad,División de Honor,5
Defensa_y_Justicia,Defensa y Justicia,Primera División,5
1._FC_K%C3%B6ln,1. FC Köln,Bundesliga,5
PEC_Zwolle,PEC Zwolle,Eredivisie,5
Boavista_F.C.,Boavista F.C.,AF Porto Liga Pro,5
Maccabi_Tel_Aviv_F.C.,Maccabi Tel Aviv F.C.,Israeli Premier League,5
FC_Dordrecht,FC Dordrecht,Eerste Divisie,5
C.D._Universidad_Cat%C3%B3lica_del_Ecuador,C.D. Universidad Católica (Ecuador),Ecuadorian Serie A,5
Independiente_del_Valle,Independiente del Valle,Ecuadorian Serie A,5
CA_Osasuna,CA Osasuna,La Liga,5
Al-Fayha_FC,Al-Fayha Club,Saudi Pro League,5
LB_Ch%C3%A2teauroux,LB Châteauroux,Championnat National 1,5
Stade_Malherbe_Caen,Stade Malherbe Caen,Ligue 3,5
SS_Lazio,SS Lazio,Serie A,5
Djurg%C3%A5rdens_IF_Fotboll,Djurgårdens IF Fotboll,Allsvenskan,5
Esp%C3%A9rance_Sportive_de_Tunis,Espérance Sportive de Tunis,Tunisian Ligue Professionnelle 1,5
FK_Bod%C3%B8/Glimt,FK Bodø/Glimt,Eliteserien,5
West_Bromwich_Albion_F.C.,West Bromwich Albion F.C.,EFL Championship,5
Malavan_F.C.,Malavan F.C.,Persian Gulf Pro League,5
Al-Sailiya_SC,Al-Sailiya SC,Qatar Stars League,5
Eastern_Suburbs_AFC,Eastern Suburbs AFC,Northern League,5
Western_Suburbs_FC_(New_Zealand),Western Suburbs FC,Central League,5
AS_Saint-%C3%89tienne,AS Saint-Étienne,Ligue 2,5
Elche_CF,Elche CF,La Liga,5
Al-Shabab_FC_(Riyadh),Al-Shabab FC (Riyadh),Unknown,5
Al-Qadsiah_FC,Al-Qadsiah FC,Unknown,5
Pakhtakor_FC,Pakhtakor FC,Uzbekistan Super League,5
Al-Karma_SC,Al-Karma SC,Iraq Stars League,5
Como_1907,Como 1907,Serie A,5
Paradou_AC,Paradou AC,League 2,5
Al-Ramtha_SC,Al-Ramtha SC,Jordanian Pro League,5
Selangor_F.C.,Selangor F.C.,Malaysia Super League,5
PFC_Navbahor_Namangan,PFC Navbahor Namangan,Unknown,5
C.A._Independiente_de_La_Chorrera,C.A. Independiente de La Chorrera,Liga Panameña de Fútbol,5
Sporting_San_Miguelito,Sporting San Miguelito,Liga Panameña de Fútbol,5
Tauro_F.C.,Tauro FC,Liga Panameña de Fútbol,5
Burton_Albion_F.C.,Burton Albion F.C.,EFL League One,4
FC_Hradec_Kr%C3%A1lov%C3%A9,FC Hradec Králové,Czech First League,4
FK_Pardubice,FK Pardubice,Czech First League,4
S.C._Braga_B,S.C. Braga B,Liga 3,4
C.D._Tapat%C3%ADo,C.D. Tapatío,Liga de Expansión MX,4
PAOK_FC,PAOK FC,Super League Greece,4
US_Cremonese,US Cremonese,Serie B,4
Club_Necaxa,Club Necaxa,Liga MX,4
Quer%C3%A9taro_F.C.,Querétaro F.C.,Liga MX,4
CD_Castell%C3%B3n,CD Castellón,Segunda División,4
AEL_Limassol,AEL Limassol,First Division,4
Atlas_F.C.,Atlas F.C.,Liga MX,4
Tigres_UANL,Tigres UANL,Liga MX,4
Venados_F.C.,Venados F.C.,Liga de Expansión MX,4
Lobos_BUAP,Lobos BUAP,Liga MX,4
AEK_Athens_F.C.,AEK Athens F.C.,Super League Greece,4
Club_Tijuana,Club Tijuana,Liga MX,4
C.F._Pachuca,C.F. Pachuca,Liga MX,4
Vit%C3%B3ria_S.C._B,Vitória S.C. B,Liga 3,4
K.V.C._Westerlo,KVC Westerlo,Belgian Pro League,4
Hannover_96,Hannover 96,2. Bundesliga,4
Philadelphia_Union_II,Philadelphia Union II,MLS Next Pro,4
FC_Tokyo,FC Tokyo,J1 League,4
Kashima_Antlers,Kashima Antlers,J1 League,4
FC_Rubin_Kazan,FC Rubin Kazan,Russian Premier League,4
Gimcheon_Sangmu_FC,Gimcheon Sangmu FC,K League 1,4
FK_Austria_Wien,FK Austria Wien,Austrian Bundesliga,4
1._FC_N%C3%BCrnberg_II,1. FC Nürnberg II,Regionalliga Bayern,4
H%C5%A0K_Zrinjski_Mostar,HŠK Zrinjski Mostar,Premier League BH,4
MKE_Ankarag%C3%BCc%C3%BC,MKE Ankaragücü,TFF 2. Lig,4
Malm%C3%B6_FF,Malmö FF,Allsvenskan,4
FC_St._Gallen,FC St. Gallen,Swiss Super League,4
GNK_Dinamo_Zagreb_Academy,GNK Dinamo Zagreb Academy,Druga HNL,4
Pafos_FC,Pafos FC,First Division,4
Borussia_Dortmund_II,Borussia Dortmund II,Regionalliga West,4
Karlsruher_SC,Karlsruher SC,2. Bundesliga,4
Nashville_SC,Nashville SC,Major League Soccer,4
G.D._Chaves,G.D. Chaves,Liga Portugal 2,4
F.C._Pa%C3%A7os_de_Ferreira,F.C. Paços de Ferreira,Liga 3,4
Colorado_Rapids,Colorado Rapids,Major League Soccer,4
Barnsley_F.C.,Barnsley F.C.,EFL League One,4
Rosenborg_BK,Rosenborg BK,Eliteserien,4
Cultural_y_Deportiva_Leonesa,Cultural y Deportiva Leonesa,Segunda División,4
SC_Freiburg_II,SC Freiburg II,Regionalliga Südwest,4
FC_Sion,FC Sion,Swiss Super League,4
Santos_FC,Santos FC,Campeonato Brasileiro Série A,4
Sport_Club_Corinthians_Paulista,Sport Club Corinthians Paulista,Unknown,4
Oldham_Athletic_A.F.C.,Oldham Athletic A.F.C.,EFL League Two,4
Cercle_Brugge_KSV,Cercle Brugge KSV,Unknown,4
New_York_Red_Bulls_II,New York Red Bulls II,MLS Next Pro,4
FC_Cincinnati,FC Cincinnati,Major League Soccer,4
Stade_Lavallois,Stade Lavallois,Ligue 2,4
Grenoble_Foot_38,Grenoble Foot 38,Ligue 2,4
Maccabi_Haifa_F.C.,Maccabi Haifa F.C.,Israeli Premier League,4
Hellas_Verona_FC,Hellas Verona FC,Serie B,4
Raja_CA,Raja CA,Botola Pro,4
FC_Barcelona_Atl%C3%A8tic,FC Barcelona Atl%C3%A8tic,Unknown,4
Livingston_F.C.,Livingston F.C.,Scottish Championship,4
Milton_Keynes_Dons_F.C.,Milton Keynes Dons F.C.,EFL League One,4
Ross_County_F.C.,Ross County F.C.,Scottish League One,4
Central_Coast_Mariners_FC,Central Coast Mariners FC,A-League Men,4
FC_Ingolstadt_04,FC Ingolstadt 04,3. Liga,4
Adelaide_United_FC,Adelaide United FC,Unknown,4
Paris_FC,Paris FC,Ligue 1,4
Heracles_Almelo,Heracles Almelo,Eerste Divisie,4
Brisbane_Roar_FC,Brisbane Roar FC,A-League Men,4
New_York_City_FC,New York City FC,Major League Soccer,4
Club_Nacional,Club Nacional,División de Honor,4
Newell%27s_Old_Boys,Newell's Old Boys,Primera División,4
Club_Atl%C3%A9tico_Hurac%C3%A1n,Club Atlético Huracán,Primera División,4
FC_Krasnodar,FC Krasnodar,Russian Premier League,4
Argentinos_Juniors,Argentinos Juniors,Liga Profesional de Fútbol,4
Bolton_Wanderers_F.C.,Bolton Wanderers F.C.,EFL Championship,4
Paris_Saint-Germain_Academy,Paris Saint-Germain FC Youth Academy,Championnat National 3,4
ADO_Den_Haag,ADO Den Haag,Eredivisie,4
Al_Jazira_Club,Al Jazira Club,UAE Pro League,4
Rosario_Central,Rosario Central,Primera División,4
Club_Le%C3%B3n,Club León,Liga MX,4
Royal_Antwerp_F.C.,Royal Antwerp FC,Belgian Pro League,4
Willem_II_(football_club),Willem II (football club),Unknown,4
Sivasspor,Sivasspor,TFF 1. Lig,4
RSCA_Futures,RSCA Futures,Challenger Pro League,4
ASEC_Mimosas,ASEC Mimosas,Ligue 1,4
FC_Girondins_de_Bordeaux,FC Girondins de Bordeaux,Championnat National 2,4
Al-Ettifaq_FC,Al-Ettifaq FC,Unknown,4
US_Monastir_(football),US Monastir (football),Tunisian Ligue Professionnelle 1,4
Arminia_Bielefeld,Arminia Bielefeld,2. Bundesliga,4
C.S._Mar%C3%ADtimo,C.S. Marítimo,Primeira Liga,4
FC_Spartak_Moscow,FC Spartak Moscow,Russian Premier League,4
AIK_Fotboll,AIK Fotboll,Allsvenskan,4
IF_Elfsborg,IF Elfsborg,Allsvenskan,4
IFK_G%C3%B6teborg,IFK Göteborg,Allsvenskan,4
IFK_Norrk%C3%B6ping,IFK Norrköping,Superettan,4
%C3%89toile_Sportive_du_Sahel,Étoile Sportive du Sahel,Tunisian Ligue Professionnelle 1,4
CS_Sfaxien,CS Sfaxien,Tunisian Ligue Professionnelle 1,4
Al-Muharraq_SC,Al-Muharraq SC,Premier League,4
Smouha_SC,Smouha SC,Egyptian Premier League,4
Villarreal_CF_B,Villarreal CF B,Primera Federación,4
Real_Oviedo,Real Oviedo,Segunda División,4
Foolad_F.C.,Foolad F.C.,Persian Gulf Pro League,4
C.D._Santa_Clara,C.D. Santa Clara,Primeira Liga,4
Auckland_City_FC,Auckland City FC,Northern League,4
Al-Fateh_SC,Al-Fateh SC,Unknown,4
CD_Basconia,CD Basconia,Segunda Federación,4
Athletic_Bilbao_B,Athletic Bilbao B,Primera Federación,4
Athletic_Bilbao,Athletic Bilbao,La Liga,4
Atl%C3%A9tico_Junior,Atlético Junior,Categoría Primera A,4
Al-Zawraa,Al-Zawraa SC,Iraq Stars League,4
Al-Khor_SC,Al-Khor SC,Qatar Stars League,4
Erbil_SC,Erbil SC,Iraq Stars League,4
Al-Karkh_SC,Al-Karkh SC,Iraq Stars League,4
